FOSECOIND,Foseco India Limited,EQ,10
FSC,Future Supply Chain Solutions Limited,BE,10
FSL,Firstsource Solutions Limited,EQ,10
FUSION,Fusion Micro Finance Limited,EQ,10
GAIL,GAIL (India) Limited,EQ,10
GALAXYSURF,Galaxy Surfactants Limited,EQ,10
GALLANTT,Gallantt Ispat Limited,EQ,10
GANECOS,Ganesha Ecosphere Limited,EQ,10
GANESHHOUC,Ganesh Housing Corporation Limited,EQ,10
GANGESSECU,Ganges Securities Limited,EQ,10
GARFIBRES,Garware Technical Fibres Limited,EQ,10
GATEWAY,Gateway Distriparks Limited,EQ,10
GEECEE,GeeCee Ventures Limited,EQ,10
GEEKAYWIRE,Geekay Wires Limited,EQ,10
GEPIL,GE Power India Limited,EQ,10
GESHIP,The Great Eastern Shipping Company Limited,EQ,10
GHCL,GHCL Limited,EQ,10
GICHSGFIN,GIC Housing Finance Limited,EQ,10
GILLANDERS,Gillanders Arbuthnot & Company Limited,EQ,10
GILLETTE,Gillette India Limited,EQ,10
GINNIFILA,Ginni Filaments Limited,EQ,10
GIPCL,Gujarat Industries Power Company Limited,EQ,10
GKWLIMITED,GKW Limited,EQ,10
GLAXO,GlaxoSmithKline Pharmaceuticals Limited,EQ,10
GLFL,Gujarat Lease Financing Limited,EQ,10
GLOBALVECT,Global Vectra Helicorp Limited,EQ,10
GLOBUSSPR,Globus Spirits Limited,EQ,10
GMBREW,GM Breweries Limited,EQ,10
GNA,GNA Axles Limited,EQ,10
GNFC,Gujarat Narmada Valley Fertilizers and Chemicals Limited,EQ,10
GOACARBON,Goa Carbon Limited,EQ,10
GOCOLORS,Go Fashion (India) Limited,EQ,10
GODREJAGRO,Godrej Agrovet Limited,EQ,10
GOLDENTOBC,Golden Tobacco Limited,BZ,10
GOLDTECH,Goldstone Technologies Limited,EQ,10
GOODYEAR,Goodyear India Limited,EQ,10
GOYALALUM,Goyal Aluminiums Limited,EQ,10
GPPL,Gujarat Pipavav Port Limited,EQ,10
GPTINFRA,GPT Infraprojects Limited,EQ,10
GREENPOWER,Orient Green Power Company Limited,EQ,10
GROBTEA,The Grob Tea Company Limited,EQ,10
GRPLTD,GRP Limited,EQ,10
GRSE,Garden Reach Shipbuilders & Engineers Limited,EQ,10
GRWRHITECH,Garware Hi-Tech Films Limited,EQ,10
GSCLCEMENT,Gujarat Sidhee Cement Limited,EQ,10
GSPL,Gujarat State Petronet Limited,EQ,10
GSS,GSS Infotech Limited,EQ,10
GTL,GTL Limited,EQ,10
GTLINFRA,GTL Infrastructure Limited,EQ,10
GTPL,GTPL Hathway Limited,EQ,10
GUJALKALI,Gujarat Alkalies and Chemicals Limited,EQ,10
GUJAPOLLO,Gujarat Apollo Industries Limited,EQ,10
GUJRAFFIA,Gujarat Raffia Industries Limited,BE,10
HAL,Hindustan Aeronautics Limited,EQ,10
HARDWYN,Hardwyn India Limited,EQ,10
HARIOMPIPE,Hariom Pipe Industries Limited,EQ,10
HARRMALAYA,Harrisons  Malayalam Limited,EQ,10
HARSHA,Harsha Engineers International Limited,EQ,10
HBSL,HB Stockholdings Limited,EQ,10
HCG,Healthcare Global Enterprises Limited,EQ,10
HDFCLIFE,HDFC Life Insurance Company Limited,EQ,10
HDIL,Housing Development and Infrastructure Limited,BZ,10
HEADSUP,Heads UP Ventures Limited,EQ,10
HECPROJECT,HEC Infra Projects Limited,BE,10
HEG,HEG Limited,EQ,10
HEIDELBERG,HeidelbergCement India Limited,EQ,10
HEMIPROP,Hemisphere Properties India Limited,EQ,10
HERANBA,Heranba Industries Limited,EQ,10
HESTERBIO,Hester Biosciences Limited,EQ,10
HGINFRA,H.G. Infra Engineering Limited,EQ,10
HGS,Hinduja Global Solutions Limited,EQ,10
HIL,HIL Limited,EQ,10
HILTON,Hilton Metal Forging Limited,EQ,10
HINDCON,Hindcon Chemicals Limited,EQ,10
HINDOILEXP,Hindustan Oil Exploration Company Limited,EQ,10
HINDPETRO,Hindustan Petroleum Corporation Limited,EQ,10
